area,bmmc,hdrs,zgrys,isga,yxsj
门头沟区,园林绿化局,87,67,true,246
门头沟区,知识产权局,0,0,true,246
门头沟区,民防局,11,11,true,246
门头沟区,城管局,119,87,true,246
门头沟区,文化执法总队,16,13,true,246
门头沟区,开发区,0,0,true,246
门头沟区,公积金,0,0,true,246
门头沟区,通管局,0,0,true,246
门头沟区,邮管局,0,0,true,246
门头沟区,地震局,48,0,true,246
门头沟区,气象局,4,4,true,246
门头沟区,档案局,8,2,true,246
门头沟区,保密局,0,0,true,246
门头沟区,烟草局,0,0,true,246
门头沟区,网信办,0,0,true,246
门头沟区,外办,0,0,true,246
门头沟区,侨办,0,0,true,246
门头沟区,新闻广电局,0,0,true,246
门头沟区,文化局,0,0,true,246
门头沟区,金融局,0,0,true,246
门头沟区,地方志,0,0,true,246
门头沟区,编办,0,0,true,246
房山区,发改委,74,20,true,161
房山区,教委,17,2,true,161
房山区,科委,2,0,true,161
房山区,经信委,3,3,true,161
房山区,民委,0,0,true,161
房山区,公安局,0,0,true,161
房山区,国安局,0,0,true,161
房山区,民政局,71,24,true,161
房山区,司法局,10,9,true,161
房山区,财政局,10,5,true,161
房山区,人社局,100,37,true,161
房山区,国土局,37,14,true,161
房山区,环保局,112,68,true,161
房山区,规划委,0,0,true,161
房山区,住建委,48,43,true,161
房山区,市城管委,6,6,true,161
房山区,交通委,208,186,true,161
房山区,农业局,137,98,true,161
房山区,水务局,92,63,true,161
房山区,商委,17,17,true,161
房山区,旅游委,4,4,true,161
房山区,卫计委,59,45,true,161
房山区,审计局,36,36,true,161
房山区,地税局,152,144,true,161
房山区,工商局,173,169,true,161
房山区,质监局,29,20,true,161
房山区,安监局,44,41,true,161
房山区,食药局,107,93,true,161
房山区,文物局,0,0,true,161
房山区,体育局,10,10,true,161
房山区,统计局,48,48,true,161
房山区,园林绿化局,113,105,true,161
房山区,知识产权局,0,0,true,161
房山区,民防局,15,7,true,161
房山区,城管局,261,221,true,161
房山区,文化执法总队,23,15,true,161
房山区,开发区,0,0,true,161
房山区,公积金,0,0,true,161
房山区,通管局,0,0,true,161
房山区,邮管局,0,0,true,161
房山区,地震局,6,0,true,161
房山区,气象局,4,4,true,161
房山区,档案局,14,13,true,161
房山区,保密局,4,4,true,161
房山区,烟草局,0,0,true,161
房山区,网信办,0,0,true,161
房山区,外办,0,0,true,161
房山区,侨办,0,0,true,161
房山区,新闻广电局,0,0,true,161
房山区,文化局,0,0,true,161
房山区,金融局,0,0,true,161
房山区,地方志,0,0,true,161
房山区,编办,0,0,true,161
通州区,发改委,17,15,true,289
通州区,教委,21,19,true,289
通州区,科委,3,3,true,289
通州区,经信委,4,4,true,289
通州区,民委,7,6,true,289
通州区,公安局,0,0,true,289
通州区,国安局,0,0,true,289
通州区,民政局,61,20,true,289
通州区,司法局,13,13,true,289
通州区,财政局,14,14,true,289
通州区,人社局,14,13,true,289
通州区,国土局,47,26,true,289
通州区,环保局,36,36,true,289
通州区,规划委,0,0,true,289
通州区,住建委,65,60,true,289
通州区,市城管委,15,15,true,289
通州区,交通委,167,155,true,289
通州区,农业局,266,264,true,289
通州区,水务局,22,19,true,289
通州区,商委,12,7,true,289
通州区,旅游委,12,12,true,289
通州区,卫计委,33,33,true,289
通州区,审计局,31,31,true,289
通州区,地税局,138,136,true,289
通州区,工商局,206,161,true,289
通州区,质监局,41,27,true,289
通州区,安监局,24,24,true,289
通州区,食药局,102,99,true,289
通州区,文物局,0,0,true,289
通州区,体育局,3,3,true,289
通州区,统计局,84,84,true,289
通州区,园林绿化局,58,54,true,289
通州区,知识产权局,0,0,true,289
通州区,民防局,21,19,true,289
通州区,城管局,285,265,true,289
通州区,文化执法总队,16,11,true,289
通州区,开发区,0,0,true,289
通州区,公积金,0,0,true,289
通州区,通管局,0,0,true,289
通州区,邮管局,0,0,true,289
通州区,地震局,7,6,true,289
通州区,气象局,3,3,true,289
通州区,档案局,8,8,true,289
通州区,保密局,5,0,true,289
通州区,烟草局,0,0,true,289
通州区,网信办,0,0,true,289
通州区,外办,0,0,true,289
通州区,侨办,0,0,true,289
通州区,新闻广电局,0,0,true,289
通州区,文化局,0,0,true,289
通州区,金融局,0,0,true,289
通州区,地方志,0,0,true,289
通州区,编办,0,0,true,289
顺义区,发改委,51,24,true,302
顺义区,教委,14,0,true,302
顺义区,科委,0,0,true,302
顺义区,经信委,5,0,true,302
顺义区,民委,14,9,true,302
顺义区,公安局,0,0,true,302
顺义区,国安局,0,0,true,302
顺义区,民政局,27,23,true,302
顺义区,司法局,26,18,true,302
顺义区,财政局,9,9,true,302
顺义区,人社局,158,18,true,302
顺义区,国土局,18,12,true,302
顺义区,环保局,101,47,true,302
顺义区,规划委,0,0,true,302
顺义区,住建委,56,53,true,302
顺义区,市城管委,14,2,true,302
顺义区,交通委,198,198,true,302
顺义区,农业局,133,107,true,302
顺义区,水务局,150,95,true,302
顺义区,商委,10,9,true,302
顺义区,旅游委,9,9,true,302
顺义区,卫计委,50,39,true,302
顺义区,审计局,41,38,true,302
顺义区,地税局,209,209,true,302
顺义区,工商局,188,167,true,302
顺义区,质监局,26,15,true,302
顺义区,安监局,46,25,true,302
顺义区,食药局,113,102,true,302
顺义区,文物局,0,0,true,302
顺义区,体育局,3,3,true,302
顺义区,统计局,29,18,true,302
顺义区,园林绿化局,0,0,true,302
顺义区,知识产权局,0,0,true,302
顺义区,民防局,24,20,true,302
顺义区,城管局,310,263,true,302
顺义区,文化执法总队,16,15,true,302
顺义区,开发区,0,0,true,302
顺义区,公积金,0,0,true,302
顺义区,通管局,0,0,true,302
顺义区,邮管局,0,0,true,302
顺义区,地震局,9,4,true,302
顺义区,气象局,4,4,true,302
顺义区,档案局,45,11,true,302
顺义区,保密局,10,2,true,302
顺义区,烟草局,0,0,true,302
