area,bmmc,gwsl,zqs,sjzqs,isga,yxsj
丰台区,质监局,9,441,435,true,248
丰台区,安监局,2,420,417,true,248
丰台区,食药局,10,692,536,true,248
丰台区,文物局,0,0,0,true,248
丰台区,体育局,4,28,28,true,248
丰台区,统计局,10,44,43,true,248
丰台区,园林绿化局,12,220,118,true,248
丰台区,知识产权局,0,0,0,true,248
丰台区,民防局,8,84,23,true,248
丰台区,城管局,4,412,412,true,248
丰台区,文化执法总队,2,711,709,true,248
丰台区,开发区,0,0,0,true,248
丰台区,公积金,0,0,0,true,248
丰台区,通管局,0,0,0,true,248
丰台区,邮管局,0,0,0,true,248
丰台区,地震局,6,24,24,true,248
丰台区,气象局,2,84,84,true,248
丰台区,档案局,11,17,16,true,248
丰台区,保密局,7,42,24,true,248
丰台区,烟草局,0,34,0,true,248
丰台区,网信办,0,0,0,true,248
丰台区,外办,0,0,0,true,248
丰台区,侨办,0,0,0,true,248
丰台区,新闻广电局,0,0,0,true,248
丰台区,文化局,0,0,0,true,248
丰台区,金融局,0,0,0,true,248
丰台区,地方志,0,0,0,true,248
丰台区,编办,0,0,0,true,248
石景山区,发改委,6,58,55,true,231
石景山区,教委,10,38,38,true,231
石景山区,科委,1,1,1,true,231
石景山区,经信委,1,9,9,true,231
石景山区,民委,8,59,59,true,231
石景山区,公安局,0,1258,0,true,231
石景山区,国安局,0,0,0,true,231
石景山区,民政局,10,248,149,true,231
石景山区,司法局,4,78,78,true,231
石景山区,财政局,4,302,301,true,231
石景山区,人社局,3,141,115,true,231
石景山区,国土局,4,0,151,true,231
石景山区,环保局,10,335,309,true,231
石景山区,规划委,0,0,0,true,231
石景山区,住建委,11,681,638,true,231
石景山区,市城管委,12,35,20,true,231
石景山区,交通委,0,0,0,true,231
石景山区,农业局,4,203,84,true,231
石景山区,水务局,10,488,487,true,231
石景山区,商委,8,250,230,true,231
石景山区,旅游委,3,91,91,true,231
石景山区,卫计委,10,714,705,true,231
石景山区,审计局,4,46,46,true,231
石景山区,地税局,12,120,119,true,231
石景山区,工商局,30,1202,1202,true,231
石景山区,质监局,9,441,435,true,231
石景山区,安监局,6,420,420,true,231
石景山区,食药局,10,692,536,true,231
石景山区,文物局,0,0,0,true,231
石景山区,体育局,2,28,24,true,231
石景山区,统计局,14,44,32,true,231
石景山区,园林绿化局,3,204,201,true,231
石景山区,知识产权局,0,0,0,true,231
石景山区,民防局,0,84,0,true,231
石景山区,城管局,5,411,411,true,231
石景山区,文化执法总队,2,713,662,true,231
石景山区,开发区,0,0,0,true,231
石景山区,公积金,0,0,0,true,231
石景山区,通管局,0,0,0,true,231
石景山区,邮管局,0,0,0,true,231
石景山区,地震局,6,24,20,true,231
石景山区,气象局,2,84,84,true,231
石景山区,档案局,4,17,15,true,231
石景山区,保密局,3,42,42,true,231
石景山区,烟草局,0,34,0,true,231
石景山区,网信办,0,0,0,true,231
石景山区,外办,0,0,0,true,231
石景山区,侨办,0,0,0,true,231
石景山区,新闻广电局,0,0,0,true,231
石景山区,文化局,0,0,0,true,231
石景山区,金融局,0,0,0,true,231
石景山区,地方志,0,0,0,true,231
石景山区,编办,0,0,0,true,231
门头沟区,发改委,10,57,50,true,246
门头沟区,教委,1,38,32,true,246
门头沟区,科委,1,1,1,true,246
门头沟区,经信委,2,9,9,true,246
门头沟区,民委,0,59,0,true,246
门头沟区,公安局,0,1251,0,true,246
门头沟区,国安局,0,0,0,true,246
门头沟区,民政局,21,248,160,true,246
门头沟区,司法局,10,78,78,true,246
门头沟区,财政局,2,302,83,true,246
门头沟区,人社局,25,141,133,true,246
门头沟区,国土局,2,0,151,true,246
门头沟区,环保局,8,349,324,true,246
门头沟区,规划委,0,0,0,true,246
门头沟区,住建委,13,680,680,true,246
门头沟区,市城管委,5,35,16,true,246
门头沟区,交通委,4,252,220,true,246
门头沟区,农业局,2,564,435,true,246
门头沟区,水务局,2,490,384,true,246
门头沟区,商委,4,251,234,true,246
门头沟区,旅游委,4,91,89,true,246
门头沟区,卫计委,16,714,709,true,246
门头沟区,审计局,4,46,46,true,246
门头沟区,地税局,12,119,118,true,246
门头沟区,工商局,30,1202,1202,true,246
门头沟区,质监局,9,441,434,true,246
门头沟区,安监局,4,420,351,true,246
门头沟区,食药局,10,692,536,true,246
门头沟区,文物局,0,0,0,true,246
门头沟区,体育局,2,28,28,true,246
门头沟区,统计局,3,44,26,true,246
门头沟区,园林绿化局,4,207,166,true,246
门头沟区,知识产权局,0,0,0,true,246
门头沟区,民防局,2,85,66,true,246
门头沟区,城管局,2,412,412,true,246
门头沟区,文化执法总队,2,710,601,true,246
门头沟区,开发区,0,0,0,true,246
门头沟区,公积金,0,0,0,true,246
门头沟区,通管局,0,0,0,true,246
门头沟区,邮管局,0,0,0,true,246
门头沟区,地震局,24,24,24,true,246
门头沟区,气象局,2,84,84,true,246
门头沟区,档案局,4,17,12,true,246
门头沟区,保密局,0,42,0,true,246
门头沟区,烟草局,0,34,0,true,246
门头沟区,网信办,0,0,0,true,246
门头沟区,外办,0,0,0,true,246
门头沟区,侨办,0,0,0,true,246
门头沟区,新闻广电局,0,0,0,true,246
门头沟区,文化局,0,0,0,true,246
门头沟区,金融局,0,0,0,true,246
门头沟区,地方志,0,0,0,true,246
门头沟区,编办,0,0,0,true,246
房山区,发改委,3,58,58,true,161
房山区,教委,2,38,38,true,161
房山区,科委,1,1,1,true,161
房山区,经信委,1,9,9,true,161
房山区,民委,0,0,0,true,161
房山区,公安局,0,1261,0,true,161
房山区,国安局,0,0,0,true,161
房山区,民政局,4,307,277,true,161
房山区,司法局,5,78,77,true,161
房山区,财政局,4,302,302,true,161
房山区,人社局,2,141,140,true,161
房山区,国土局,2,0,151,true,161
房山区,环保局,3,349,342,true,161
房山区,规划委,0,0,0,true,161
房山区,住建委,2,681,681,true,161
房山区,市城管委,4,43,43,true,161
房山区,交通委,3,241,232,true,161
房山区,农业局,12,518,558,true,161
房山区,水务局,4,491,421,true,161
房山区,商委,4,251,231,true,161
房山区,旅游委,2,91,91,true,161
房山区,卫计委,3,709,709,true,161
房山区,审计局,3,46,46,true,161
房山区,地税局,12,120,119,true,161
房山区,工商局,30,1202,1202,true,161
房山区,质监局,9,441,434,true,161
房山区,安监局,5,420,420,true,161
房山区,食药局,10,692,536,true,161
房山区,文物局,0,0,0,true,161
房山区,体育局,4,28,25,true,161
房山区,统计局,2,44,44,true,161
房山区,园林绿化局,7,214,179,true,161
房山区,知识产权局,0,0,0,true,161
房山区,民防局,2,85,24,true,161
房山区,城管局,4,412,412,true,161
房山区,文化执法总队,4,712,660,true,161
房山区,开发区,0,0,0,true,161
房山区,公积金,0,0,0,true,161
房山区,通管局,0,0,0,true,161
房山区,邮管局,0,0,0,true,161
房山区,地震局,2,24,24,true,161
房山区,气象局,2,84,84,true,161
房山区,档案局,2,17,15,true,161
房山区,保密局,2,42,12,true,161
房山区,烟草局,0,34,0,true,161
房山区,网信办,0,0,0,true,161
房山区,外办,0,0,0,true,161
房山区,侨办,0,0,0,true,161
房山区,新闻广电局,0,0,0,true,161
房山区,文化局,0,0,0,true,161
房山区,金融局,0,0,0,true,161
房山区,地方志,0,0,0,true,161
房山区,编办,0,0,0,true,161
通州区,发改委,4,58,51,true,289
通州区,教委,9,38,38,true,289
通州区,科委,2,1,1,true,289
通州区,经信委,3,9,9,true,289
通州区,民委,6,59,54,true,289
通州区,公安局,0,1258,0,true,289
通州区,国安局,0,0,0,true,289
通州区,民政局,28,248,218,true,289
通州区,司法局,7,78,70,true,289
通州区,财政局,4,302,302,true,289
通州区,人社局,6,141,139,true,289
通州区,国土局,7,0,151,true,289
通州区,环保局,3,336,297,true,289
通州区,规划委,0,0,0,true,289
通州区,住建委,23,681,662,true,289
通州区,市城管委,3,35,35,true,289
通州区,交通委,4,242,233,true,289
通州区,农业局,19,528,435,true,289
通州区,水务局,4,490,421,true,289
通州区,商委,8,251,244,true,289
通州区,旅游委,3,91,91,true,289
通州区,卫计委,12,714,692,true,289
通州区,审计局,6,46,45,true,289
通州区,地税局,12,120,119,true,289
通州区,工商局,30,1202,1202,true,289
通州区,质监局,9,441,434,true,289
通州区,安监局,15,420,353,true,289
通州区,食药局,10,692,536,true,289
通州区,文物局,0,0,0,true,289
通州区,体育局,3,28,27,true,289
通州区,统计局,3,44,33,true,289
通州区,园林绿化局,15,221,164,true,289
通州区,知识产权局,0,0,0,true,289
通州区,民防局,4,85,24,true,289
通州区,城管局,2,412,412,true,289
通州区,文化执法总队,8,710,598,true,289
通州区,开发区,0,0,0,true,289
通州区,公积金,0,0,0,true,289
通州区,通管局,0,0,0,true,289
通州区,邮管局,0,0,0,true,289
通州区,地震局,7,24,24,true,289
通州区,气象局,2,84,84,true,289
通州区,档案局,4,17,12,true,289
通州区,保密局,4,42,41,true,289
通州区,烟草局,0,34,0,true,289
通州区,网信办,0,0,0,true,289
通州区,外办,0,0,0,true,289
通州区,侨办,0,0,0,true,289
通州区,新闻广电局,0,0,0,true,289
通州区,文化局,0,0,0,true,289
通州区,金融局,0,0,0,true,289
通州区,地方志,0,0,0,true,289
通州区,编办,0,0,0,true,289
顺义区,发改委,14,58,58,true,302
顺义区,教委,12,38,32,true,302
顺义区,科委,0,1,0,true,302
顺义区,经信委,2,9,9,true,302
顺义区,民委,9,59,54,true,302
顺义区,公安局,0,1236,0,true,302
顺义区,国安局,0,7,0,true,302
顺义区,民政局,21,247,187,true,302
顺义区,司法局,12,78,78,true,302
顺义区,财政局,2,302,301,true,302
顺义区,人社局,23,141,136,true,302
顺义区,国土局,2,0,151,true,302
顺义区,环保局,4,348,343,true,302
顺义区,规划委,0,0,0,true,302
顺义区,住建委,6,681,681,true,302
顺义区,市城管委,6,35,25,true,302
顺义区,交通委,3,243,233,true,302
顺义区,农业局,32,546,374,true,302
顺义区,水务局,12,490,417,true,302
顺义区,商委,4,251,218,true,302
顺义区,旅游委,4,91,91,true,302
顺义区,卫计委,11,714,694,true,302
顺义区,审计局,4,46,46,true,302
顺义区,地税局,12,121,121,true,302
顺义区,工商局,30,1202,1202,true,302
顺义区,质监局,9,441,435,true,302
顺义区,安监局,8,420,417,true,302
顺义区,食药局,10,692,533,true,302
顺义区,文物局,0,0,0,true,302
顺义区,体育局,2,28,24,true,302
顺义区,统计局,6,44,38,true,302
顺义区,园林绿化局,0,199,0,true,302
顺义区,知识产权局,0,31,0,true,302
顺义区,民防局,6,85,25,true,302
顺义区,城管局,2,412,412,true,302
顺义区,文化执法总队,2,712,660,true,302
顺义区,开发区,0,0,0,true,302
顺义区,公积金,0,0,0,true,302
顺义区,通管局,0,0,0,true,302
顺义区,邮管局,0,0,0,true,302
顺义区,地震局,6,24,24,true,302
顺义区,气象局,2,84,84,true,302
顺义区,档案局,18,17,15,true,302
顺义区,保密局,6,42,42,true,302
顺义区,烟草局,0,34,0,true,302
顺义区,网信办,0,0,0,true,302
顺义区,外办,0,0,0,true,302
顺义区,侨办,0,0,0,true,302
顺义区,新闻广电局,0,0,0,true,302
顺义区,文化局,0,0,0,true,302
顺义区,金融局,0,0,0,true,302
顺义区,地方志,0,0,0,true,302
顺义区,编办,0,0,0,true,302
大兴区,发改委,8,58,52,true,251
大兴区,教委,8,38,32,true,251
大兴区,科委,2,1,1,true,251
大兴区,经信委,2,9,9,true,251
大兴区,民委,3,59,43,true,251
大兴区,公安局,0,1259,0,true,251
大兴区,国安局,0,0,0,true,251
大兴区,民政局,26,247,213,true,251
大兴区,司法局,8,78,78,true,251
大兴区,财政局,7,302,282,true,251
大兴区,人社局,15,141,134,true,251
大兴区,国土局,2,0,151,true,251
大兴区,环保局,4,334,322,true,251
大兴区,规划委,0,0,0,true,251
大兴区,住建委,4,680,680,true,251
大兴区,市城管委,6,35,35,true,251
大兴区,交通委,4,241,231,true,251
大兴区,农业局,24,375,368,true,251
大兴区,水务局,3,490,416,true,251
大兴区,商委,4,251,226,true,251
大兴区,旅游委,2,91,91,true,251
大兴区,卫计委,9,714,699,true,251
大兴区,审计局,4,46,46,true,251
大兴区,地税局,11,120,119,true,251
大兴区,工商局,30,1202,1202,true,251
大兴区,质监局,9,441,434,true,251
大兴区,安监局,4,420,353,true,251
大兴区,食药局,10,692,536,true,251
大兴区,文物局,0,0,0,true,251
大兴区,体育局,3,28,25,true,251
大兴区,统计局,5,44,34,true,251
大兴区,园林绿化局,9,221,186,true,251
大兴区,知识产权局,0,0,0,true,251
大兴区,民防局,4,85,24,true,251
大兴区,城管局,4,412,412,true,251
大兴区,文化执法总队,2,711,639,true,251
大兴区,开发区,0,0,0,true,251
大兴区,公积金,0,0,0,true,251
大兴区,通管局,0,0,0,true,251
大兴区,邮管局,0,0,0,true,251
大兴区,地震局,2,24,24,true,251
大兴区,气象局,2,84,84,true,251
大兴区,档案局,4,17,15,true,251
大兴区,保密局,7,42,40,true,251
大兴区,烟草局,0,34,0,true,251
大兴区,网信办,0,0,0,true,251
大兴区,外办,0,0,0,true,251
大兴区,侨办,0,0,0,true,251
大兴区,新闻广电局,0,0,0,true,251
大兴区,文化局,0,0,0,true,251
大兴区,金融局,0,0,0,true,251
大兴区,地方志,0,0,0,true,251
大兴区,编办,0,0,0,true,251
昌平区,发改委,8,58,52,true,269
昌平区,教委,5,38,32,true,269
昌平区,科委,1,1,1,true,269
昌平区,经信委,2,9,9,true,269
昌平区,民委,3,59,59,true,269
昌平区,公安局,0,1259,0,true,269
昌平区,国安局,0,0,0,true,269
昌平区,民政局,23,248,201,true,269
昌平区,司法局,7,78,76,true,269
昌平区,财政局,4,302,298,true,269
昌平区,人社局,24,141,119,true,269
昌平区,国土局,2,0,151,true,269
昌平区,环保局,4,348,309,true,269
昌平区,规划委,0,0,0,true,269
昌平区,住建委,9,681,554,true,269
昌平区,市城管委,1,35,8,true,269
昌平区,交通委,4,243,233,true,269
昌平区,农业局,29,518,444,true,269
昌平区,水务局,4,488,368,true,269
昌平区,商委,2,251,193,true,269
昌平区,旅游委,3,98,98,true,269
昌平区,卫计委,30,714,702,true,269
昌平区,审计局,4,46,46,true,269
昌平区,地税局,12,121,121,true,269
昌平区,工商局,30,1202,1202,true,269
昌平区,质监局,9,441,434,true,269
昌平区,安监局,6,420,351,true,269
昌平区,食药局,10,692,536,true,269
昌平区,文物局,0,0,0,true,269
昌平区,体育局,2,28,27,true,269
昌平区,统计局,15,44,36,true,269
昌平区,园林绿化局,0,206,0,true,269
昌平区,知识产权局,0,0,0,true,269
昌平区,民防局,4,85,22,true,269
昌平区,城管局,1,412,409,true,269
昌平区,文化执法总队,1,710,658,true,269
昌平区,开发区,0,0,0,true,269
昌平区,公积金,0,0,0,true,269
昌平区,通管局,0,0,0,true,269
昌平区,邮管局,0,0,0,true,269
昌平区,地震局,4,24,24,true,269
昌平区,气象局,2,84,84,true,269
昌平区,档案局,4,17,15,true,269
昌平区,保密局,0,42,0,true,269
昌平区,烟草局,0,34,0,true,269
昌平区,网信办,0,0,0,true,269
昌平区,外办,0,0,0,true,269
昌平区,侨办,0,0,0,true,269
昌平区,新闻广电局,0,0,0,true,269
昌平区,文化局,0,0,0,true,269
昌平区,金融局,0,0,0,true,269
昌平区,地方志,0,0,0,true,269
昌平区,编办,0,0,0,true,269
平谷区,发改委,6,58,51,true,275
平谷区,教委,3,38,38,true,275
平谷区,科委,2,1,1,true,275
平谷区,经信委,4,9,9,true,275
平谷区,民委,2,59,54,true,275
平谷区,公安局,0,1257,0,true,275
平谷区,国安局,0,0,0,true,275
平谷区,民政局,25,248,215,true,275
平谷区,司法局,5,78,77,true,275
平谷区,财政局,10,302,285,true,275
平谷区,人社局,23,141,141,true,275
平谷区,国土局,2,0,151,true,275
平谷区,环保局,9,335,328,true,275
平谷区,规划委,2,0,10,true,275
平谷区,住建委,4,681,681,true,275
平谷区,市城管委,16,35,35,true,275
平谷区,交通委,4,243,233,true,275
平谷区,农业局,2,254,245,true,275
平谷区,水务局,17,488,430,true,275
平谷区,商委,2,251,193,true,275
平谷区,旅游委,2,91,89,true,275
平谷区,卫计委,19,714,705,true,275
平谷区,审计局,4,46,46,true,275
平谷区,地税局,12,121,120,true,275
平谷区,工商局,30,1202,1202,true,275
平谷区,质监局,9,441,434,true,275
平谷区,安监局,3,420,418,true,275
平谷区,食药局,10,692,536,true,275
平谷区,文物局,0,0,0,true,275
平谷区,体育局,4,28,27,true,275
平谷区,统计局,16,44,34,true,275
平谷区,园林绿化局,3,219,166,true,275
平谷区,知识产权局,0,0,0,true,275
平谷区,民防局,6,85,81,true,275
平谷区,城管局,2,412,412,true,275
平谷区,文化执法总队,2,712,656,true,275
平谷区,开发区,0,0,0,true,275
平谷区,公积金,0,0,0,true,275
平谷区,通管局,0,0,0,true,275
